stock,endDate,netIncomeApplicableToCommonShares,netIncomeFromContinuingOps,totalOtherIncomeExpenseNet,costOfRevenue,totalOperatingExpenses,totalRevenue,incomeTaxExpense,interestExpense,operatingIncome,ebit,grossProfit,sellingGeneralAdministrative,netIncome,incomeBeforeTax,researchDevelopment,minorityInterest,otherOperatingExpenses,discontinuedOperations
TCO,2019-06-30,6259000.0,16284000.0,-27238000,39673000,115718000,161604000,2364000,-38603000.0,45886000.0,45886000,121931000,8554000.0,12044000,18648000.0,,-216673000.0,21232000.0,
MVO,2020-03-31,2185000.0,2185000.0,0,0,241155,2426155,0,,2185000.0,2185000,2426155,241155.0,2185000,2185000.0,,,,
MVO,2019-12-31,2472500.0,2472500.0,0,0,372427,2844927,0,,2472500.0,2472500,2844927,372427.0,2472500,2472500.0,,,,
MVO,2019-09-30,3507500.0,3507500.0,0,0,173595,3681095,0,,3507500.0,3507500,3681095,173595.0,3507500,3507500.0,,,,
MVO,2019-06-30,2472500.0,2472500.0,0,0,176083,2648583,0,,2472500.0,2472500,2648583,176083.0,2472500,2472500.0,,,,
GRA,2020-03-31,42000000.0,42100000.0,-17600000,261900000,346100000,421500000,15700000,-17700000.0,75400000.0,75400000,159600000,67200000.0,42000000,57800000.0,17000000.0,6600000.0,,
GRA,2019-12-31,-28300000.0,-28100000.0,-56900000,299800000,475900000,504500000,-200000,-18000000.0,28600000.0,28600000,204700000,159800000.0,-28300000,-28300000.0,16300000.0,6500000.0,,
GRA,2019-09-30,53700000.0,53800000.0,-22400000,279500000,367000000,470500000,27300000,-18300000.0,103500000.0,103500000,191000000,72600000.0,53700000,81100000.0,14900000.0,6300000.0,,
GRA,2019-06-30,76200000.0,76400000.0,-26700000,300600000,391700000,513600000,18800000,-19200000.0,121900000.0,121900000,213000000,74800000.0,76200000,95200000.0,16300000.0,6200000.0,,
WING,2020-03-28,8096000.0,8096000.0,-4145000,26100000,41965000,55436000,1230000,-4145000.0,13471000.0,13471000,29336000,14310000.0,8096000,9326000.0,,,,
WING,2019-12-28,3047000.0,3047000.0,-4784000,24995000,43692000,53186000,1663000,-4184000.0,9494000.0,9494000,28191000,17232000.0,3047000,4710000.0,,,,
WING,2019-09-28,5905000.0,5905000.0,-4243000,22991000,37926000,49875000,1801000,-4243000.0,11949000.0,11949000,26884000,13527000.0,5905000,7706000.0,,,,
WING,2019-06-29,4918000.0,4918000.0,-4299000,23546000,38275000,48562000,1070000,-4299000.0,10287000.0,10287000,25016000,13394000.0,4918000,5988000.0,,,,
RIG,2020-03-31,-392000000.0,-391000000.0,-370000000,530000000,784000000,759000000,-4000000,-160000000.0,-25000000.0,-25000000,229000000,48000000.0,-392000000,-395000000.0,,6000000.0,,
RIG,2019-12-31,-51000000.0,-55000000.0,-35000000,575000000,836000000,792000000,-24000000,-160000000.0,-44000000.0,-44000000,217000000,54000000.0,-51000000,-79000000.0,,5000000.0,,
RIG,2019-09-30,-825000000.0,-825000000.0,-751000000,547000000,804000000,784000000,54000000,-166000000.0,-20000000.0,-20000000,237000000,45000000.0,-825000000,-771000000.0,,9000000.0,,
RIG,2019-06-30,-208000000.0,-206000000.0,-153000000,510000000,774000000,758000000,37000000,-168000000.0,-16000000.0,-16000000,248000000,45000000.0,-208000000,-169000000.0,,9000000.0,,
ASMB,2020-03-31,-26655000.0,-26655000.0,1039000,23046000,31775000,4081000,0,,-27694000.0,-27694000,-18965000,8729000.0,-26655000,-26655000.0,,,,
ASMB,2019-12-31,-27084000.0,-27084000.0,-841000,22616000,31750000,4766000,-741000,,-26984000.0,-26984000,-17850000,9134000.0,-27084000,-27825000.0,,,,
ASMB,2019-09-30,-24995000.0,-24995000.0,983000,21736000,30224000,4231000,-15000,,-25993000.0,-25993000,-17505000,8488000.0,-24995000,-25010000.0,,,,
ASMB,2019-06-30,-18503000.0,-18503000.0,4786000,18700000,26380000,3080000,-11000,,-23300000.0,-23300000,-15620000,7680000.0,-18503000,-18514000.0,,,,
RVNC,2020-03-31,-61933000.0,-61933000.0,-873000,0,61018000,58000,100000,-2148000.0,-60960000.0,-60960000,58000,21224000.0,-61933000,-61833000.0,39794000.0,,,
RVNC,2019-12-31,-45326000.0,-45326000.0,844000,0,46259000,89000,0,-2148000.0,-46170000.0,-46170000,89000,25568000.0,-45326000,-45326000.0,20691000.0,,,
RVNC,2019-09-30,-41409000.0,-41409000.0,1131000,0,42586000,46000,0,-2148000.0,-42540000.0,-42540000,46000,16739000.0,-41409000,-41409000.0,25847000.0,,,
RVNC,2019-06-30,-37390000.0,-37390000.0,1732000,0,39122000,0,0,-2148000.0,-39122000.0,-39122000,0,13596000.0,-37390000,-37390000.0,25526000.0,,,
NYCB,2020-03-31,90951000.0,100328000.0,0,0,125522000,240765000,14915000,,115243000.0,0,240765000,125522000.0,100328000,115243000.0,,,,
NYCB,2019-12-31,91879000.0,101174000.0,0,0,126097000,258230000,30959000,,132133000.0,0,258230000,126097000.0,101174000,132133000.0,,,,
NYCB,2019-09-30,89766000.0,99046000.0,0,0,123302000,255520000,33172000,,132218000.0,0,255520000,123302000.0,99046000,132218000.0,,,,
NYCB,2019-06-30,87984000.0,97246000.0,0,0,123052000,253443000,33145000,,130391000.0,0,253443000,123052000.0,97246000,130391000.0,,,,
FNJN,2020-03-31,-4189000.0,-4189000.0,-3747000,900000,4201000,3800000,41000,-77000.0,-401000.0,-401000,2900000,2910000.0,-4189000,-4148000.0,391000.0,,,
FNJN,2019-12-31,-5938000.0,-5938000.0,-5212000,0,3466000,0,-2740000,-87000.0,-3466000.0,-3466000,0,3001000.0,-5938000,-8678000.0,465000.0,,,
FNJN,2019-09-30,-2580000.0,-2580000.0,-4492000,1003000,4373000,5900000,-385000,-98000.0,1527000.0,1527000,4897000,2886000.0,-2580000,-2965000.0,484000.0,,,
FNJN,2019-06-30,-1970000.0,-1970000.0,-4979000,928000,5001000,7250000,-760000,-108000.0,2249000.0,2249000,6322000,3543000.0,-1970000,-2730000.0,530000.0,,,
SIBN,2020-03-31,-12772000.0,-12772000.0,-890000,1932000,28703000,16821000,0,-1231000.0,-11882000.0,-11882000,14889000,24681000.0,-12772000,-12772000.0,2090000.0,,,
SIBN,2019-12-31,-9098000.0,-9098000.0,-1313000,2046000,27596000,19811000,0,-1243000.0,-7785000.0,-7785000,17765000,24974000.0,-9098000,-9098000.0,576000.0,,,
SIBN,2019-09-30,-11306000.0,-11306000.0,-3225000,1630000,24263000,16182000,0,-1243000.0,-8081000.0,-8081000,14552000,20759000.0,-11306000,-11306000.0,1874000.0,,,
SIBN,2019-06-30,-8654000.0,-8654000.0,-516000,1588000,24455000,16317000,0,-1233000.0,-8138000.0,-8138000,14729000,20921000.0,-8654000,-8654000.0,1946000.0,,,
DLTH,2020-05-03,-15135000.0,-15179000.0,-2891000,57585000,127291000,109917000,-5086000,-1350000.0,-17374000.0,-17374000,52332000,69706000.0,-15135000,-20265000.0,,-2210000.0,,
DLTH,2020-02-02,24374000.0,24208000.0,-1303000,122587000,226500000,259649000,7638000,-1340000.0,33149000.0,33149000,137062000,103380000.0,24374000,31846000.0,,-2166000.0,,
DLTH,2019-11-03,182000.0,89000.0,-1442000,54403000,118440000,119768000,-203000,-1500000.0,1328000.0,1328000,65365000,63184000.0,182000,-114000.0,,-495000.0,,
DLTH,2019-08-04,1936000.0,1846000.0,-1211000,57159000,118228000,121963000,678000,-1203000.0,3735000.0,3735000,64804000,61069000.0,1936000,2524000.0,,-402000.0,,
FCCO,2020-03-31,1794000.0,1794000.0,-182000,0,8856000,11270000,438000,,2414000.0,0,11270000,6968000.0,1794000,2232000.0,,,1888000.0,
FCCO,2019-12-31,2697000.0,2697000.0,-376000,0,8770000,12570000,727000,,3800000.0,0,12570000,6810000.0,2697000,3424000.0,,,1960000.0,
FCCO,2019-09-30,2898000.0,2898000.0,-186000,0,8604000,12441000,753000,,3837000.0,0,12441000,6692000.0,2898000,3651000.0,,,1912000.0,
FCCO,2019-06-30,2881000.0,2881000.0,-221000,0,8419000,12293000,772000,,3874000.0,0,12293000,6676000.0,2881000,3653000.0,,,1743000.0,
BHE,2020-03-31,3852000.0,3852000.0,-4509000,471603000,505730000,514964000,873000,-1702000.0,9234000.0,9234000,43361000,31575000.0,3852000,4725000.0,,,171000.0,
BHE,2019-12-31,-6931000.0,-6931000.0,-25957000,466819000,493390000,508444000,-3972000,-1650000.0,15054000.0,15054000,41625000,27591000.0,-6931000,-10903000.0,,,-3386000.0,
BHE,2019-09-30,7136000.0,7136000.0,-6932000,502346000,539588000,555229000,1573000,-1687000.0,15641000.0,15641000,52883000,34875000.0,7136000,8709000.0,,,-3386000.0,
BHE,2019-06-30,9447000.0,9447000.0,-4071000,547804000,585447000,601602000,2637000,-1718000.0,16155000.0,16155000,53798000,35282000.0,9447000,12084000.0,,,-3386000.0,
QSR,2020-03-31,144000000.0,224000000.0,-120000000,525000000,834000000,1225000000,46000000,-119000000.0,391000000.0,391000000,700000000,325000000.0,144000000,270000000.0,,1567000000.0,-16000000.0,
QSR,2019-12-31,165000000.0,257000000.0,-186000000,618000000,927000000,1479000000,109000000,-132000000.0,552000000.0,552000000,861000000,307000000.0,165000000,366000000.0,,1769000000.0,2000000.0,
QSR,2019-09-30,201000000.0,351000000.0,-107000000,608000000,921000000,1458000000,79000000,-142000000.0,537000000.0,537000000,850000000,315000000.0,201000000,430000000.0,,1705000000.0,-2000000.0,
QSR,2019-06-30,142000000.0,257000000.0,-152000000,588000000,894000000,1400000000,97000000,-142000000.0,506000000.0,506000000,812000000,305000000.0,142000000,354000000.0,,2103000000.0,1000000.0,
WAT,2020-03-28,53562000.0,53562000.0,-28897000,210644000,378179000,464939000,4301000,-14079000.0,86760000.0,86760000,254295000,129921000.0,53562000,57863000.0,34989000.0,,,
WAT,2019-12-31,200669000.0,200669000.0,-11390000,299068000,480516000,716294000,23719000,-14223000.0,235778000.0,235778000,417226000,141847000.0,200669000,224388000.0,37072000.0,,,
WAT,2019-09-28,138133000.0,138133000.0,-17500000,241055000,395040000,577278000,26605000,-11456000.0,182238000.0,182238000,336223000,117033000.0,138133000,164738000.0,34333000.0,,,
WAT,2019-06-29,144410000.0,144410000.0,-6874000,249546000,420553000,599162000,27325000,-11448000.0,178609000.0,178609000,349616000,132253000.0,144410000,171735000.0,36490000.0,,,
EXAS,2020-03-31,-105697000.0,-105697000.0,-25056000,81606000,430194000,347821000,-1732000,-25153000.0,-82373000.0,-82373000,266215000,281740000.0,-105697000,-107429000.0,43509000.0,,,
EXAS,2019-12-31,77945000.0,77945000.0,-64175000,69143000,338083000,295575000,-184628000,-13688000.0,-42508000.0,-42508000,226432000,210375000.0,77945000,-106683000.0,42530000.0,,,
EXAS,2019-09-30,-40459000.0,-40459000.0,-13316000,52759000,245265000,218805000,683000,-13209000.0,-26460000.0,-26460000,166046000,157561000.0,-40459000,-39776000.0,34945000.0,,,
EXAS,2019-06-30,-38420000.0,-38420000.0,-5043000,51563000,233690000,199870000,-443000,-12712000.0,-33820000.0,-33820000,148307000,151924000.0,-38420000,-38863000.0,30203000.0,,,
OUT,2020-03-31,5700000.0,6300000.0,-29100000,224800000,351600000,385300000,-1700000,-29800000.0,33700000.0,33700000,160500000,79500000.0,6100000,4600000.0,,28400000.0,,
OUT,2019-12-31,44600000.0,45500000.0,-49300000,255900000,390900000,488100000,2400000,-34400000.0,97200000.0,97200000,232200000,86400000.0,45000000,47900000.0,,32600000.0,,
OUT,2019-09-30,38300000.0,38700000.0,-41600000,245500000,378900000,462500000,3300000,-33900000.0,83600000.0,83600000,217000000,82300000.0,38700000,42000000.0,,33200000.0,,
OUT,2019-06-30,49700000.0,50300000.0,-32600000,240300000,370800000,459900000,6200000,-33900000.0,89100000.0,89100000,219600000,81500000.0,50300000,56500000.0,,37200000.0,,
NRZ,2020-03-31,-1602315000.0,-1607255000.0,-1614000,74834000,474678000,-1297831000,-166868000,,-1772509000.0,0,-1372665000,228084000.0,-1591093000,-1774123000.0,,66578000.0,171760000.0,
NRZ,2019-12-31,211780000.0,230381000.0,23582000,85289000,291722000,521307000,22786000,,229585000.0,0,436018000,227614000.0,219723000,253167000.0,,78550000.0,-21181000.0,
NRZ,2019-09-30,224584000.0,244660000.0,-2703000,60067000,250565000,492488000,-5440000,,241923000.0,0,432421000,190498000.0,229922000,239220000.0,,83652000.0,-21181000.0,
NRZ,2019-06-30,-31943000.0,-25020000.0,-2682000,63334000,129188000,85273000,-21577000,,-43915000.0,0,21939000,138529000.0,-31943000,-46597000.0,,82865000.0,-72675000.0,
GTLS,2020-03-31,8500000.0,8500000.0,-18500000,227400000,292400000,321100000,1700000,-8300000.0,28700000.0,28700000,93700000,51000000.0,8500000,10200000.0,,4800000.0,,
GTLS,2019-12-31,12400000.0,12500000.0,-14300000,255000000,318900000,342400000,-3300000,-10100000.0,23500000.0,23500000,87400000,52400000.0,12400000,9200000.0,,4800000.0,,
GTLS,2019-09-30,18700000.0,18700000.0,-12000000,255600000,320700000,357800000,6400000,-8200000.0,37100000.0,37100000,102200000,51300000.0,18700000,25100000.0,,4600000.0,,
GTLS,2019-06-30,14400000.0,14600000.0,-12000000,222800000,278100000,309600000,4900000,-5800000.0,31500000.0,31500000,86800000,48000000.0,14400000,19500000.0,,4800000.0,,
CMD,2020-04-30,15787000.0,15787000.0,1308000,133928000,225910000,236933000,-3456000,-10113000.0,11023000.0,11023000,103005000,83633000.0,15787000,12331000.0,8349000.0,,,
CMD,2020-01-31,-2263000.0,-2263000.0,-38617000,152663000,252535000,288498000,-391000,-10250000.0,35963000.0,35963000,135835000,92015000.0,-2263000,-2654000.0,7857000.0,,,
CMD,2019-10-31,5765000.0,5767000.0,-27724000,135449000,220817000,257246000,2938000,-5719000.0,36429000.0,36429000,121797000,77621000.0,5767000,8705000.0,7747000.0,,,
CMD,2019-07-31,8825000.0,8825000.0,-21077000,126801000,206337000,239476000,3237000,-2763000.0,33139000.0,33139000,112675000,70571000.0,8825000,12062000.0,8965000.0,,,
SNPS,2020-04-30,109920000.0,109920000.0,-45401000,170420000,705760000,861327000,246000,-1846000.0,155567000.0,155567000,690907000,208674000.0,109920000,110166000.0,302571000.0,5863000.0,,
SNPS,2020-01-31,104061000.0,104061000.0,3306000,179699000,738114000,834381000,-4488000,-1603000.0,96267000.0,96267000,654682000,221599000.0,104061000,99573000.0,314283000.0,5863000.0,,
SNPS,2019-10-31,160714000.0,160714000.0,6762000,169047000,726220000,851081000,-29091000,-1051000.0,124861000.0,124861000,682034000,242894000.0,160714000,131623000.0,290503000.0,5863000.0,,
SNPS,2019-07-31,99929000.0,99929000.0,-32321000,173029000,687738000,852970000,32982000,-2214000.0,165232000.0,165232000,679941000,206191000.0,99929000,132911000.0,284804000.0,5863000.0,,
HLI,2020-03-31,59014000.0,59014000.0,2717000,16612000,234039000,302236000,11900000,,68197000.0,0,285624000,202155000.0,59014000,70914000.0,,,10261000.0,
HLI,2019-12-31,48894000.0,48894000.0,-2253000,20168000,265529000,333353000,20161000,,67824000.0,0,313185000,228842000.0,48894000,69055000.0,,,12183000.0,
HLI,2019-09-30,33110000.0,33110000.0,1207000,17128000,227604000,272651000,13144000,,45047000.0,0,255523000,195394000.0,33110000,46254000.0,,,11101000.0,
HLI,2019-06-30,42776000.0,42776000.0,1667000,14941000,202366000,250124000,6649000,,47758000.0,0,235183000,177768000.0,42776000,49425000.0,,,5694000.0,
PRIM,2020-03-31,-3737000.0,-3734000.0,-8683000,695433000,739821000,743243000,-1527000,-9112000.0,3422000.0,3422000,47810000,44388000.0,-3737000,-5261000.0,,1031000.0,,
PRIM,2019-12-31,26945000.0,27511000.0,-2237000,700264000,748838000,789778000,11192000,-2603000.0,40940000.0,40940000,89514000,48574000.0,26945000,38703000.0,,1028000.0,,
PRIM,2019-09-30,35648000.0,35826000.0,-8208000,756643000,806470000,865064000,14560000,-5186000.0,58594000.0,58594000,108421000,49827000.0,35648000,50386000.0,,462000.0,,
PRIM,2019-06-30,17787000.0,17824000.0,-6723000,709398000,758117000,789929000,7265000,-6716000.0,31812000.0,31812000,80531000,48719000.0,17787000,25089000.0,,284000.0,,
PRNB,2020-03-31,-32499000.0,-32499000.0,1612000,0,34111000,0,0,,-34111000.0,-34111000,0,7369000.0,-32499000,-32499000.0,26742000.0,,,
PRNB,2019-12-31,-24924000.0,-24924000.0,1687000,0,26611000,0,0,,-26611000.0,-26611000,0,5137000.0,-24924000,-24924000.0,21474000.0,,,
PRNB,2019-09-30,-22296000.0,-22296000.0,1037000,0,23333000,0,0,,-23333000.0,-23333000,0,4965000.0,-22296000,-22296000.0,18368000.0,,,
PRNB,2019-06-30,7115000.0,7115000.0,1066000,0,23951000,30000000,0,,6049000.0,6049000,30000000,5233000.0,7115000,7115000.0,18718000.0,,,
WWR,2020-03-31,-3287000.0,-3287000.0,-661000,602000,2626000,0,0,,-2626000.0,-2626000,-602000,1779000.0,-3287000,-3287000.0,,,106000.0,
WWR,2019-12-31,-2782000.0,-2782000.0,-735000,488000,2047000,0,0,,-2047000.0,-2047000,-488000,1322000.0,-2782000,-2782000.0,,,37000.0,
WWR,2019-09-30,-1834000.0,-1834000.0,596000,830000,2430000,0,0,,-2430000.0,-2430000,-830000,1359000.0,-1834000,-1834000.0,,,197000.0,
WWR,2019-06-30,-2775000.0,-2775000.0,158000,812000,2933000,0,0,,-2933000.0,-2933000,-812000,2054000.0,-2775000,-2775000.0,,,30000.0,
SFE,2020-03-31,-16008000.0,-16008000.0,-14469000,0,1539000,0,0,,-1539000.0,-1539000,0,1539000.0,-16008000,-16008000.0,,,,
SFE,2019-12-31,-698000.0,-698000.0,1362000,0,2060000,0,0,,-2060000.0,-2060000,0,2060000.0,-698000,-698000.0,,,,
SFE,2019-09-30,-2497000.0,-2497000.0,-235000,0,2262000,0,0,,-2262000.0,-2262000,0,2262000.0,-2497000,-2497000.0,,,,
SFE,2019-06-30,36093000.0,36093000.0,38696000,0,2603000,0,0,,-2603000.0,-2603000,0,2603000.0,36093000,36093000.0,,,,
STNG,2020-03-31,46627000.0,46627000.0,-44558000,85683000,162982000,254167000,0,-43887000.0,91185000.0,91185000,168484000,17261000.0,46627000,46627000.0,,,,
STNG,2019-12-31,12042000.0,12042000.0,-46814000,87894000,162766000,221622000,0,-42206000.0,58856000.0,58856000,133728000,15759000.0,12042000,12042000.0,,,,
STNG,2019-09-30,-45289000.0,-45289000.0,-41396000,73022000,139960000,136067000,0,-42865000.0,-3893000.0,-3893000,63045000,15296000.0,-45289000,-45289000.0,,,,
STNG,2019-06-30,-29720000.0,-29720000.0,-44630000,70103000,135895000,150805000,0,-45500000.0,14910000.0,14910000,80702000,15528000.0,-29720000,-29720000.0,,,,
MGEN,2020-03-31,-8044000.0,-8044000.0,-165000,5984000,8707000,828000,0,-141000.0,-7879000.0,-7879000,-5156000,2723000.0,-8044000,-8044000.0,,,,
MGEN,2019-12-31,-10118000.0,-10118000.0,-947000,7617000,10051000,880000,0,-170000.0,-9171000.0,-9171000,-6737000,2434000.0,-10118000,-10118000.0,,,,
MGEN,2019-09-30,-11230000.0,-11230000.0,-1100000,8127000,10825000,695000,0,-204000.0,-10130000.0,-10130000,-7432000,2698000.0,-11230000,-11230000.0,,,,
MGEN,2019-06-30,-8896000.0,-8896000.0,321000,8599000,11456000,2514000,0,-229000.0,-8942000.0,-8942000,-6085000,2857000.0,-8896000,-8896000.0,,,,
PG,2020-03-31,2853000000.0,2957000000.0,-174000000,8518000000,13542000000,17214000000,541000000,-100000000.0,3672000000.0,3672000000,8696000000,5024000000.0,2917000000,3498000000.0,,401000000.0,,
PG,2019-12-31,3653000000.0,3743000000.0,-50000000,8806000000,13658000000,18240000000,789000000,-100000000.0,4582000000.0,4582000000,9434000000,4852000000.0,3717000000,4532000000.0,,370000000.0,,
PG,2019-09-30,3528000000.0,3617000000.0,36000000,8653000000,13491000000,17798000000,726000000,-108000000.0,4307000000.0,4307000000,9145000000,4838000000.0,3593000000,4343000000.0,,406000000.0,,
PG,2019-06-30,-5309000000.0,-5237000000.0,-8426000000,8708000000,13733000000,17094000000,172000000,-111000000.0,3361000000.0,3361000000,8386000000,5025000000.0,-5241000000,-5065000000.0,,385000000.0,,
RCKT,2020-03-31,-24664000.0,-24664000.0,-544000,0,24120000,0,0,-1573000.0,-24120000.0,-24120000,0,7163000.0,-24664000,-24664000.0,16957000.0,,,
RCKT,2019-12-31,-19855000.0,-19855000.0,38000,0,19649000,0,0,-1343000.0,-19649000.0,-19649000,0,4981000.0,-19855000,-19855000.0,14668000.0,,,
RCKT,2019-09-30,-19284000.0,-19284000.0,249000,0,19165000,0,0,-1466000.0,-19165000.0,-19165000,0,4336000.0,-19284000,-19284000.0,14829000.0,,,
RCKT,2019-06-30,-18680000.0,-18680000.0,-32000,0,18392000,0,0,-1544000.0,-18392000.0,-18392000,0,4403000.0,-18680000,-18680000.0,13989000.0,,,
ICE,2020-03-31,650000000.0,658000000.0,-58000000,0,665000000,1559000000,178000000,-72000000.0,894000000.0,894000000,1559000000,508000000.0,650000000,836000000.0,,123000000.0,,
ICE,2019-12-31,448000000.0,453000000.0,-68000000,0,643000000,1298000000,134000000,-71000000.0,655000000.0,655000000,1298000000,485000000.0,448000000,587000000.0,,109000000.0,,
ICE,2019-09-30,529000000.0,537000000.0,-69000000,0,627000000,1336000000,103000000,-72000000.0,709000000.0,709000000,1336000000,469000000.0,529000000,640000000.0,,96000000.0,,
ICE,2019-06-30,472000000.0,478000000.0,-60000000,0,610000000,1298000000,150000000,-71000000.0,688000000.0,688000000,1298000000,453000000.0,472000000,628000000.0,,103000000.0,,
CTBI,2020-03-31,6579000.0,6579000.0,-1151000,0,26182000,34170000,258000,,7988000.0,0,34170000,21395000.0,6579000,6837000.0,,,4787000.0,
CTBI,2019-12-31,16008000.0,16008000.0,-1438000,0,27091000,47182000,2645000,,20091000.0,0,47182000,22342000.0,16008000,18653000.0,,,4749000.0,
CTBI,2019-09-30,15269000.0,15269000.0,-2530000,0,26607000,46910000,2504000,,20303000.0,0,46910000,21840000.0,15269000,17773000.0,,,4767000.0,
CTBI,2019-06-30,18324000.0,18324000.0,-1505000,0,27359000,45550000,-1638000,,18191000.0,0,45550000,22281000.0,18324000,16686000.0,,,5078000.0,
ACLS,2020-03-31,11221000.0,11221000.0,-1441000,73442000,105288000,118991000,1041000,-1303000.0,13703000.0,13703000,45549000,17321000.0,11221000,12262000.0,14525000.0,,,
ACLS,2019-12-31,9712000.0,9712000.0,-555000,63407000,94511000,107723000,2945000,-1306000.0,13212000.0,13212000,44316000,17589000.0,9712000,12657000.0,13515000.0,,,
ACLS,2019-09-30,704000.0,704000.0,-1511000,38872000,67566000,69453000,-328000,-1308000.0,1887000.0,1887000,30581000,15844000.0,704000,376000.0,12850000.0,,,
ACLS,2019-06-30,556000.0,556000.0,-655000,42556000,72295000,74305000,799000,-1311000.0,2010000.0,2010000,31749000,16105000.0,556000,1355000.0,13634000.0,,,
VVR,2020-02-29,648323.0,648323.0,-13900956,0,3296400,17845679,0,-2726095.0,14549279.0,14549279,17845679,3296400.0,648323,648323.0,,,,
VVR,2019-11-30,648323.0,648323.0,-13900956,0,3296400,17845679,0,-2726095.0,14549279.0,14549279,17845679,3296400.0,648323,648323.0,,,,
VVR,2019-08-31,6747107.0,6747107.0,-7811879,0,3538842,18097827,0,-3507370.0,14558985.0,14558985,18097827,3538842.0,6747107,6747107.0,,,,
VVR,2019-05-31,6747107.0,6747107.0,-7811879,0,3538842,18097827,0,-3507370.0,14558985.0,14558985,18097827,3538842.0,6747107,6747107.0,,,,
ECOM,2020-03-31,2007000.0,2007000.0,134000,7063000,29939000,32032000,220000,,2093000.0,2093000,24969000,18075000.0,2007000,2227000.0,4801000.0,,,
ECOM,2019-12-31,5420000.0,5420000.0,-107000,7094000,29131000,34775000,117000,,5644000.0,5644000,27681000,18040000.0,5420000,5537000.0,3997000.0,,,
ECOM,2019-09-30,1729000.0,1729000.0,-739000,7051000,28997000,31678000,213000,,2681000.0,2681000,24627000,17243000.0,1729000,1942000.0,4703000.0,,,
ECOM,2019-06-30,-1338000.0,-1338000.0,243000,7096000,33346000,31932000,167000,,-1414000.0,-1414000,24836000,21225000.0,-1338000,-1171000.0,5025000.0,,,
WINT,2020-03-31,-6534000.0,-6534000.0,169000,3461000,6703000,0,0,-44000.0,-6703000.0,-6703000,-3461000,3242000.0,-6534000,-6534000.0,,,,
WINT,2019-12-31,-7375000.0,-7375000.0,-2821000,2140000,4554000,0,0,-137000.0,-4554000.0,-4554000,-2140000,2414000.0,-7375000,-7375000.0,,,,
WINT,2019-09-30,-7126000.0,-7126000.0,61000,3792000,7187000,0,0,-105000.0,-7187000.0,-7187000,-3792000,3395000.0,-7126000,-7126000.0,,,,
WINT,2019-06-30,-6437000.0,-6437000.0,58000,3413000,6653000,158000,0,-117000.0,-6495000.0,-6495000,-3255000,3240000.0,-6437000,-6437000.0,,,,
CARS,2020-03-31,-787434000.0,-787434000.0,-924413000,40903000,145771000,148094000,-134656000,-7526000.0,2323000.0,2323000,107191000,67538000.0,-787434000,-922090000.0,,,6369000.0,
CARS,2019-12-31,-4110000.0,-4110000.0,-9682000,39296000,145559000,152187000,1056000,-7785000.0,6628000.0,6628000,112891000,65145000.0,-4110000,-3054000.0,,,11002000.0,
CARS,2019-09-30,-426157000.0,-426157000.0,-469887000,40012000,136229000,152090000,-27869000,-7712000.0,15861000.0,15861000,112078000,62089000.0,-426157000,-454026000.0,,,5158000.0,
CARS,2019-06-30,-6026000.0,-6026000.0,-11339000,39658000,143566000,148207000,-672000,-7711000.0,4641000.0,4641000,108549000,72066000.0,-6026000,-6698000.0,,,2176000.0,
STSA,2020-03-31,-11773000.0,-11773000.0,398000,0,12171000,0,0,-104000.0,-12171000.0,-12171000,0,2523000.0,-11773000,-11773000.0,9648000.0,,,
STSA,2019-12-31,-10809000.0,-10809000.0,466000,0,11275000,0,0,-117000.0,-11275000.0,-11275000,0,2125000.0,-10809000,-10809000.0,9150000.0,,,
STSA,2019-09-30,-8260000.0,-8260000.0,210000,0,8470000,0,0,-121000.0,-8470000.0,-8470000,0,1029000.0,-8260000,-8260000.0,7441000.0,,,
STSA,2019-06-30,-8260000.0,-8260000.0,0,0,0,0,0,-121000.0,-8470000.0,0,0,1029000.0,0,-8260000.0,7441000.0,,,
INFU,2020-03-31,-418000.0,-418000.0,-422000,8890000,21235000,21268000,29000,-403000.0,33000.0,33000,12378000,11270000.0,-418000,-389000.0,,,,
INFU,2019-12-31,805000.0,805000.0,-1033000,8763000,19860000,21710000,12000,-468000.0,1850000.0,1850000,12947000,10021000.0,805000,817000.0,,,,
INFU,2019-09-30,1135000.0,1135000.0,-499000,9251000,19826000,21489000,29000,-488000.0,1663000.0,1663000,12238000,9498000.0,1135000,1164000.0,,,,
INFU,2019-06-30,381000.0,381000.0,-527000,8367000,18752000,19723000,63000,-488000.0,971000.0,971000,11356000,9261000.0,381000,444000.0,,,,
OC,2020-03-31,-917000000.0,-916000000.0,-1005000000,1292000000,1488000000,1601000000,24000000,-30000000.0,113000000.0,113000000,309000000,176000000.0,-917000000,-892000000.0,21000000.0,39000000.0,-1000000.0,
OC,2019-12-31,73000000.0,72000000.0,-90000000,1296000000,1503000000,1692000000,27000000,-21000000.0,189000000.0,189000000,396000000,212000000.0,73000000,99000000.0,22000000.0,40000000.0,-27000000.0,
OC,2019-09-30,150000000.0,151000000.0,-34000000,1422000000,1637000000,1883000000,61000000,-36000000.0,246000000.0,246000000,461000000,162000000.0,150000000,212000000.0,21000000.0,39000000.0,32000000.0,
OC,2019-06-30,138000000.0,138000000.0,-36000000,1477000000,1685000000,1918000000,59000000,-35000000.0,233000000.0,233000000,441000000,181000000.0,138000000,197000000.0,22000000.0,40000000.0,5000000.0,
