stock,endDate,capitalExpenditures,changeToNetincome,changeToAccountReceivables,changeToInventory,dividendsPaid,otherCashflowsFromInvestingActivities,depreciation,totalCashFromOperatingActivities,effectOfExchangeRate,repurchaseOfStock,changeInCash,netIncome,changeToOperatingActivities,totalCashFromFinancingActivities,netBorrowings,totalCashflowsFromInvestingActivities,changeToLiabilities,issuanceOfStock,investments,otherCashflowsFromFinancingActivities
EQM,2019-09-30,-297127000.0,249534000.0,32605000.0,,-330685000.0,-650000000.0,73737000.0,234584000.0,,,65274000.0,-36019000,-24401000.0,326927000.0,585000000.0,-496237000.0,-60872000,,-210504000.0,72612000.0
EQM,2019-06-30,-321068000.0,68258000.0,1367000.0,,-229524000.0,-650000000.0,70265000.0,349270000.0,,,-57214000.0,129459000,30964000.0,918464000.0,-10325000.0,-1324948000.0,48957000,,-155255000.0,72612000.0
JOUT,2020-03-27,-4465000.0,-413000.0,-29065000.0,-4473000.0,-1693000.0,,3364000.0,97000.0,-950000.0,,-7001000.0,20387000,2681000.0,-1693000.0,,-4455000.0,7610000,,,
JOUT,2019-12-27,-3307000.0,667000.0,-33616000.0,-9298000.0,-1689000.0,,3432000.0,-29088000.0,419000.0,,-34125000.0,6430000,1200000.0,-2149000.0,,-3307000.0,2090000,,,
JOUT,2019-09-27,-4755000.0,2571000.0,36041000.0,-107000.0,-1392000.0,,-375000.0,30224000.0,-664000.0,,23414000.0,3903000,-6550000.0,-1392000.0,,-4754000.0,-9228000,,,
JOUT,2019-06-28,-3853000.0,835000.0,42149000.0,20739000.0,-1391000.0,,3535000.0,85501000.0,493000.0,,80763000.0,22066000,1913000.0,-1391000.0,,-3840000.0,-5743000,,,
TWNK,2020-03-31,-11323000.0,2623000.0,-17463000.0,5180000.0,,,11521000.0,13142000.0,-873000.0,-1004000.0,-188920000.0,2348000,6431000.0,130354000.0,134096000.0,-331543000.0,864000,155000.0,,-2893000.0
TWNK,2019-12-31,-6454000.0,1359000.0,10966000.0,-9026000.0,,,10056000.0,36622000.0,-873000.0,-824000.0,18216000.0,21720000,5180000.0,-10633000.0,-2424000.0,-7773000.0,-4233000,155000.0,,-7385000.0
TWNK,2019-09-30,-13023000.0,11599000.0,8972000.0,862000.0,,,10039000.0,33288000.0,-873000.0,-483000.0,77587000.0,8785000,-7807000.0,-4640000.0,-2414000.0,48939000.0,137000,155000.0,,-1743000.0
TWNK,2019-06-30,-5905000.0,18179000.0,1044000.0,265000.0,,,10361000.0,45679000.0,-873000.0,-124000.0,28801000.0,11483000,2073000.0,-9408000.0,-2526000.0,-7470000.0,1574000,23000.0,,-6781000.0
EYEG,2020-03-31,,305768.0,,,,,48507.0,-2400322.0,280.0,,2101271.0,-1952200,-749554.0,4501313.0,,,-52843,4501313.0,,
EYEG,2019-12-31,,798808.0,,,,,54742.0,-2586617.0,1053.0,,1322135.0,-2701846,119260.0,3907699.0,,,-857581,3896134.0,,
EYEG,2019-09-30,,179722.0,,,,,53714.0,-1998226.0,3468.0,,-2010509.0,-3428387,228897.0,-15751.0,,,967828,3896134.0,,
EYEG,2019-06-30,,236190.0,,,,,53238.0,-1422423.0,1114.0,,-1390880.0,-1837272,267762.0,30429.0,,,-142341,32000.0,,
FL,2020-05-02,,,,,,,,,,,,-98000000,,,,,0,,,
FL,2020-02-01,,,,,,,,,,,,134000000,,,,,-63000000,,,
FL,2019-11-02,,,,,,,,,,,,125000000,,,,,-25000000,,,
FL,2019-08-03,,,,,,,,,,,,60000000,,,,,-30000000,,,
CADE,2020-03-31,-2742000.0,803054000.0,,,-22139000.0,-689000.0,5592000.0,409335000.0,,-29973000.0,-379413000.0,-399311000,,-305401000.0,,-483347000.0,0,,-90024000.0,-253289000.0
CADE,2019-12-31,-3398000.0,75014000.0,,,-22391000.0,-6226000.0,-19223000.0,87869000.0,,-9947000.0,-72338000.0,51425000,,-80075000.0,,-80132000.0,0,,-670744000.0,-47737000.0
CADE,2019-09-30,-4790000.0,36184000.0,,,-22438000.0,272000.0,6025000.0,86195000.0,,-10346000.0,294844000.0,43986000,,261107000.0,,-52459000.0,0,,-11794000.0,300539000.0
CADE,2019-06-30,-1691000.0,162846000.0,,,-22539000.0,-9468000.0,5888000.0,217080000.0,,-10346000.0,223189000.0,48346000,,-76804000.0,,82912000.0,0,,93030000.0,286953000.0
DXC,2020-03-31,-110000000.0,3766000000.0,269000000.0,,-53000000.0,96000000.0,448000000.0,288000000.0,-116000000.0,-1000000.0,1119000000.0,-3495000000,125000000.0,962000000.0,1017000000.0,-15000000.0,-711000000,,38000000.0,-1000000.0
DXC,2019-12-31,-48000000.0,315000000.0,269000000.0,,-54000000.0,86000000.0,286000000.0,477000000.0,63000000.0,-89000000.0,-320000000.0,82000000,-403000000.0,-785000000.0,-631000000.0,-75000000.0,0,,38000000.0,-12000000.0
DXC,2019-09-30,-87000000.0,3060000000.0,269000000.0,,-56000000.0,-84000000.0,539000000.0,1651000000.0,-7000000.0,-150000000.0,1012000000.0,-2119000000,238000000.0,-407000000.0,-208000000.0,-225000000.0,0,,38000000.0,4000000.0
DXC,2019-06-30,-105000000.0,172000000.0,269000000.0,,-51000000.0,311000000.0,407000000.0,-66000000.0,-30000000.0,-512000000.0,-1031000000.0,163000000,-875000000.0,887000000.0,1479000000.0,-1822000000.0,0,,-75000000.0,-36000000.0
RF,2020-03-31,,475000000.0,,,-172000000.0,-44000000.0,100000000.0,787000000.0,,,1141000000.0,162000000,9000000.0,5634000000.0,3251000000.0,-5280000000.0,0,,-397000000.0,2555000000.0
RF,2019-12-31,,87000000.0,,,-174000000.0,-55000000.0,95000000.0,497000000.0,,,-953000000.0,389000000,134000000.0,-1737000000.0,-4602000000.0,287000000.0,0,,629000000.0,3171000000.0
RF,2019-09-30,,94000000.0,,,-164000000.0,-72000000.0,99000000.0,763000000.0,,,579000000.0,409000000,46000000.0,-371000000.0,1050000000.0,187000000.0,0,,-380000000.0,-666000000.0
RF,2019-06-30,,-20000000.0,,,-159000000.0,-21000000.0,96000000.0,743000000.0,,,681000000.0,390000000,119000000.0,-1785000000.0,-1150000000.0,1723000000.0,0,,974000000.0,-749000000.0
OIS,2020-03-31,-5881000.0,397072000.0,4617000.0,-15332000.0,,-256000.0,26409000.0,5449000.0,9000.0,-2665000.0,15815000.0,-405041000,5768000.0,12402000.0,15067000.0,-2045000.0,-8625000,,,
OIS,2019-12-31,-10284000.0,165294000.0,25264000.0,-3907000.0,,-378000.0,28519000.0,21538000.0,-466000.0,-2665000.0,-6162000.0,-175552000,-9459000.0,-18999000.0,-19001000.0,-8235000.0,-9316000,,,
OIS,2019-09-30,-14255000.0,29499000.0,5109000.0,-6333000.0,,-75000.0,31366000.0,49891000.0,485000.0,-76000.0,2249000.0,-31868000,17161000.0,-35265000.0,-35179000.0,-12862000.0,1943000,,,
OIS,2019-06-30,-13655000.0,1837000.0,-2009000.0,-3269000.0,,-1155000.0,31883000.0,31711000.0,-352000.0,-12000.0,-2903000.0,-9740000,1211000.0,-21235000.0,-21215000.0,-13027000.0,10776000,,,
SAM,2020-03-28,-27394000.0,8825000.0,-4436000.0,-23856000.0,,96000.0,15945000.0,18924000.0,,-1559000.0,92834000.0,18234000,-10052000.0,101173000.0,99791000.0,-27263000.0,14264000,2941000.0,,
SAM,2019-12-28,-26473000.0,-794000.0,14272000.0,-8085000.0,,-234000.0,14430000.0,35561000.0,,-1559000.0,9542000.0,13762000,2947000.0,667000.0,-132000.0,-26686000.0,-971000,799000.0,,
SAM,2019-09-28,-22182000.0,12341000.0,8814000.0,-1905000.0,,178000.0,15752000.0,87151000.0,,-1559000.0,24111000.0,44729000,11352000.0,-33886000.0,-37631000.0,-29154000.0,-3932000,3745000.0,,
SAM,2019-06-29,-22498000.0,10003000.0,-14894000.0,411000.0,,-216000.0,13226000.0,41887000.0,,-1559000.0,-99870000.0,27856000,-6635000.0,39181000.0,37457000.0,-180938000.0,11920000,1724000.0,,
FET,2020-03-31,-958000.0,34552000.0,8147000.0,6704000.0,,,14193000.0,1567000.0,-712000.0,-179000.0,51038000.0,-37144000,-11002000.0,51104000.0,51537000.0,-921000.0,-15712000,,37000.0,-254000.0
FET,2019-12-31,-2495000.0,-4168000.0,29659000.0,26065000.0,,,14747000.0,28493000.0,392000.0,-44000.0,29014000.0,-12448000,384000.0,-808000.0,-764000.0,937000.0,-25746000,,3937000.0,-254000.0
FET,2019-09-30,-3336000.0,532639000.0,-87000.0,19867000.0,,,15819000.0,34867000.0,-116000.0,-13000.0,-8468000.0,-532987000,1505000.0,-79263000.0,-79250000.0,36044000.0,-1889000,,39300000.0,-254000.0
FET,2019-06-30,-5584000.0,11683000.0,23093000.0,1385000.0,,,16316000.0,22897000.0,151000.0,-64000.0,7671000.0,-13734000,1763000.0,-10084000.0,-10020000.0,-5293000.0,-17609000,,39300000.0,-254000.0
BOE,2019-12-31,,-3958157.0,98279.0,,-12562718.0,,,21397599.0,-199.0,-7976922.0,857761.0,24944566,312912.0,-20539640.0,,,0,,,
BOE,2019-09-30,,-3958157.0,98279.0,,-12562718.0,,,21397599.0,-199.0,-7976922.0,857761.0,24944566,312912.0,-20539640.0,,,0,,,
BOE,2019-06-30,,-21184576.0,-229523.0,,-12801540.0,,,19097341.0,-73.0,-6084509.0,211219.0,40460371,51068.0,-18886049.0,,,0,,,
BOE,2019-03-31,,-21184576.0,-229523.0,,-12801540.0,,,19097341.0,-73.0,-6084509.0,211219.0,40460371,51068.0,-18886049.0,,,0,,,
LEG,2020-03-31,-24200000.0,26600000.0,-7100000.0,-34300000.0,-52700000.0,6900000.0,46500000.0,10400000.0,-13900000.0,-8200000.0,258200000.0,45700000,-40200000.0,279000000.0,340100000.0,-17300000.0,-27800000,600000.0,,-800000.0
LEG,2019-12-31,-40100000.0,16300000.0,98400000.0,5800000.0,-52600000.0,-8000000.0,36100000.0,251400000.0,6200000.0,-4600000.0,5600000.0,86800000,6100000.0,-183300000.0,-127500000.0,-68700000.0,-9200000,1900000.0,,-500000.0
LEG,2019-09-30,-32500000.0,9700000.0,12800000.0,14200000.0,-52600000.0,200000.0,55300000.0,212900000.0,-9600000.0,-2600000.0,-47700000.0,99600000,12300000.0,-222000000.0,-164900000.0,-29000000.0,15900000,500000.0,,-2400000.0
LEG,2019-06-30,-38700000.0,19100000.0,-40800000.0,19400000.0,-49800000.0,-6400000.0,46200000.0,172300000.0,-2300000.0,-700000.0,26400000.0,86200000,17400000.0,-100300000.0,-49900000.0,-43300000.0,21000000,400000.0,,-300000.0
DKL,2020-03-31,-104164000.0,8986000.0,-6011000.0,8762000.0,-21616000.0,,8209000.0,34834000.0,,,-1369000.0,18719000,287000.0,75973000.0,106600000.0,-112176000.0,-4692000,,-8119000.0,-9011000.0
DKL,2019-12-31,-4106000.0,8839000.0,12875000.0,-4412000.0,-21505000.0,,8802000.0,45810000.0,,,-808000.0,12801000,3553000.0,-40579000.0,-7900000.0,-6039000.0,2777000,,-1933000.0,-11174000.0
DKL,2019-09-30,-2527000.0,6799000.0,35000.0,-4601000.0,-20755000.0,,8491000.0,34262000.0,,,913000.0,21635000,14000.0,-28528000.0,-400000.0,-4821000.0,1315000,,-2363000.0,-7373000.0
DKL,2019-06-30,-1256000.0,6016000.0,-6200000.0,2149000.0,-20014000.0,,8540000.0,24122000.0,,,84000.0,16806000,-14000.0,108752000.0,135500000.0,-132790000.0,-3751000,,-131597000.0,-6734000.0
MCBC,2020-03-31,-624000.0,1655000.0,,,-2720000.0,,721000.0,9925000.0,,-11000.0,-65255000.0,6411000,4276000.0,-40645000.0,10000000.0,-34535000.0,0,,-25277000.0,-47914000.0
MCBC,2019-12-31,-40000.0,-1965000.0,,,-2378000.0,,537000.0,6682000.0,,-96000.0,-97986000.0,8172000,-3198000.0,-89939000.0,-20619000.0,-14729000.0,0,,-7002000.0,-66846000.0
MCBC,2019-09-30,-160000.0,-532000.0,,,-2372000.0,,347000.0,6907000.0,,-96000.0,139553000.0,8158000,1890000.0,156662000.0,-20619000.0,-24016000.0,0,,9642000.0,159034000.0
MCBC,2019-06-30,-273000.0,-816000.0,,,-2383000.0,,696000.0,7459000.0,,-5000.0,86897000.0,8003000,-270000.0,40854000.0,-20619000.0,38584000.0,0,,-2620000.0,43242000.0
WMS,2020-03-31,-21384000.0,6166000.0,-45695000.0,-24231000.0,,6776000.0,34875000.0,9871000.0,-2498000.0,,75921000.0,2305000,-512000.0,83156000.0,89555000.0,-14608000.0,21234000,1883000.0,,49562000.0
WMS,2019-12-31,-20671000.0,10919000.0,95748000.0,-13999000.0,,-131000.0,31172000.0,124607000.0,726000.0,,44105000.0,23288000,1500000.0,-59721000.0,-56049000.0,-21507000.0,-24116000,3850000.0,,49562000.0
WMS,2019-09-30,-15899000.0,14492000.0,-389000.0,22513000.0,,-103000.0,26566000.0,108871000.0,-172000.0,,44850000.0,7589000,172000.0,1040770000.0,787472000.0,-1104619000.0,3817000,294565000.0,,-34584000.0
WMS,2019-06-30,-9723000.0,254455000.0,-44494000.0,34803000.0,,-13000.0,16694000.0,62840000.0,-5000.0,,466000.0,-226356000,-3089000.0,-52633000.0,15753000.0,-9736000.0,30653000,1513000.0,,-258000.0
EWBC,2020-03-31,-916000.0,73779000.0,,,-41358000.0,-1438000.0,31186000.0,91703000.0,13492000.0,-153575000.0,-181107000.0,144824000,304680000.0,1119028000.0,-60326000.0,-1405330000.0,0,,-264673000.0,1374287000.0
EWBC,2019-12-31,-1355000.0,-4050000.0,,,-40121000.0,-663000.0,40958000.0,346810000.0,-17323000.0,-405000.0,218868000.0,188215000,-70681000.0,591739000.0,-19727000.0,-702358000.0,0,,38192000.0,650504000.0
EWBC,2019-09-30,-4090000.0,42155000.0,,,-40037000.0,3619000.0,31107000.0,99018000.0,-12023000.0,-61000.0,-579333000.0,171416000,67373000.0,205339000.0,28849000.0,-871667000.0,0,,-217041000.0,216587000.0
EWBC,2019-06-30,-1078000.0,19154000.0,,,-40033000.0,-4787000.0,32615000.0,150760000.0,-14515000.0,-133000.0,-163711000.0,150380000,71126000.0,578514000.0,381189000.0,-878470000.0,0,,-311666000.0,235597000.0
DYAI,2020-03-31,,545062.0,35258.0,,,,,-1996345.0,-2983.0,,-126713.0,-2214139,-233964.0,175000.0,,1697615.0,-128562,175000.0,1697615.0,
DYAI,2019-12-31,,196611.0,-141965.0,,,,,-1400938.0,559.0,,161217.0,-1738531,60470.0,221598.0,,1339998.0,213071,221598.0,1339998.0,
DYAI,2019-09-30,,208484.0,78439.0,,,,,-1540989.0,-20229.0,,-119193.0,-1698384,112345.0,179410.0,,1262615.0,-232467,179410.0,1262615.0,
DYAI,2019-06-30,,645005.0,-82465.0,,,,,-1431444.0,-10669.0,,805759.0,-2695792,110316.0,149180.0,,2098692.0,90875,149180.0,2098692.0,
CATM,2020-03-31,-18429000.0,20071000.0,3171000.0,-1454000.0,,,40624000.0,1120000.0,-6649000.0,-22388000.0,541055000.0,5755000,-61720000.0,565013000.0,587108000.0,-18429000.0,-8813000,293000.0,,
CATM,2019-12-31,-34587000.0,11399000.0,771000.0,170000.0,,,42886000.0,-27033000.0,2404000.0,-1826000.0,-87813000.0,12620000,-101034000.0,-28597000.0,-26611000.0,-34587000.0,2707000,1000.0,,
CATM,2019-09-30,-35266000.0,3296000.0,-10972000.0,-3245000.0,,,45870000.0,176462000.0,-1272000.0,-30354000.0,85356000.0,20864000,106246000.0,-54568000.0,-23290000.0,-35266000.0,11026000,1000.0,,
CATM,2019-06-30,-25746000.0,9386000.0,-6766000.0,1951000.0,,,45796000.0,77035000.0,108000.0,-20341000.0,-308000.0,10471000,13861000.0,-42605000.0,-22264000.0,-34846000.0,-994000,1000.0,,
APVO,2020-03-31,,-11684000.0,,,,28120000.0,455000.0,-11175000.0,,,-5159000.0,2897000,405000.0,-22104000.0,-22104000.0,28120000.0,-3248000,,,
APVO,2019-12-31,,404000.0,,,,28120000.0,533000.0,-5100000.0,,,-5235000.0,-8174000,-1202000.0,-135000.0,-137000.0,28120000.0,1100000,,,
APVO,2019-09-30,,404000.0,,,,28120000.0,533000.0,-5100000.0,,,-5235000.0,-6924000,-1202000.0,-135000.0,-137000.0,28120000.0,0,,,
APVO,2019-06-30,,513000.0,,,,28120000.0,573000.0,-15891000.0,,,-16004000.0,-13332000,2167000.0,-113000.0,-137000.0,28120000.0,-1614000,,,
ARKR,2019-12-28,-777000.0,184000.0,214000.0,-1025000.0,-875000.0,-19000.0,1195000.0,2452000.0,,,34000.0,1513000,-594000.0,-1622000.0,-675000.0,-796000.0,769000,,,-72000.0
ARKR,2019-09-28,-931000.0,1222000.0,1079000.0,28000.0,-875000.0,310000.0,1534000.0,3863000.0,,,1601000.0,-555000,994000.0,-1641000.0,-675000.0,-621000.0,151000,,,-91000.0
ARKR,2019-06-29,-1019000.0,127000.0,-568000.0,-122000.0,-875000.0,-19000.0,1175000.0,4750000.0,,,2737000.0,3962000,457000.0,-950000.0,-962000.0,-1063000.0,-1097000,,,-162000.0
ARKR,2019-03-30,-915000.0,-374000.0,-120000.0,74000.0,-870000.0,22000.0,1520000.0,1162000.0,,,-344000.0,-669000,480000.0,-613000.0,340000.0,-893000.0,-8000,,,-83000.0
RGP,2020-02-22,-779000.0,2185000.0,6067000.0,,-4499000.0,,2646000.0,4345000.0,-127000.0,-5000000.0,-7089000.0,6942000,-4444000.0,-10309000.0,-5000000.0,-998000.0,-1706000,4190000.0,,
RGP,2019-11-23,-754000.0,1579000.0,-7671000.0,,-4475000.0,,2934000.0,20256000.0,-38000.0,-5000000.0,-2690000.0,12337000,10214000.0,-22259000.0,-19000000.0,-649000.0,157000,1216000.0,,
RGP,2019-08-24,-510000.0,1616000.0,6288000.0,,-4106000.0,,2463000.0,-3038000.0,-206000.0,-5000000.0,2678000.0,4939000,-17981000.0,30744000.0,30000000.0,-24822000.0,-1727000,4850000.0,,
RGP,2019-05-25,-960000.0,2989000.0,3726000.0,,-4147000.0,,2194000.0,30125000.0,-132000.0,-7640000.0,-4922000.0,9369000,12245000.0,-27977000.0,-15000000.0,-6938000.0,-1062000,670000.0,,
TESS,2020-03-29,806300.0,8613100.0,-323300.0,1625100.0,-170900.0,,-798800.0,3907000.0,,-680600.0,49200.0,-14076700,-5666900.0,-3843800.0,-3792900.0,-14000.0,12401600,800600.0,,
TESS,2019-12-29,-354700.0,531300.0,9079400.0,13371100.0,-1709500.0,,795600.0,11034800.0,,-11900.0,-107400.0,-5021400,4394400.0,-7644000.0,-5922700.0,-3498200.0,-12126500,100.0,,
TESS,2019-09-29,-290300.0,-695300.0,-10370100.0,17263500.0,-1704200.0,,1113800.0,-12047700.0,,-500.0,91000.0,22000,-2312300.0,13601900.0,15164300.0,-1463200.0,-17079400,142300.0,,
TESS,2019-06-30,-449300.0,1426000.0,12711800.0,-29562300.0,-1702600.0,,960800.0,-1985900.0,,-189100.0,-13100.0,-2492800,-2241600.0,3843100.0,5734800.0,-1870300.0,17709600,142300.0,,
UBFO,2020-03-31,-242000.0,1123000.0,,,-1867000.0,,343000.0,4812000.0,,,-19142000.0,2754000,1485000.0,20207000.0,,-44161000.0,-1481000,,-17928000.0,22074000.0
UBFO,2019-12-31,-272000.0,567000.0,,,-1869000.0,,-228000.0,4536000.0,,,-26948000.0,2896000,-1384000.0,-3729000.0,,-27755000.0,349000,,1319000.0,-1860000.0
UBFO,2019-09-30,-292000.0,-351000.0,,,-1861000.0,,582000.0,4685000.0,,,-63517000.0,4173000,-18000.0,-52554000.0,,-15648000.0,108000,,-18418000.0,-50693000.0
UBFO,2019-06-30,-281000.0,-168000.0,,,-1869000.0,,693000.0,2257000.0,,,48759000.0,4097000,3734000.0,37469000.0,,9033000.0,-3009000,,2831000.0,39338000.0
CUBA,2019-12-31,,,,,,,,,,,,2531402,,,,,0,,,
CUBA,2019-09-30,,,,,,,,,,,,2531402,,,,,0,,,
CUBA,2019-06-30,,,,,,,,,,,,3316418,,,,,0,,,
CUBA,2019-03-31,,,,,,,,,,,,3316418,,,,,0,,,
CVGI,2020-03-31,-3472000.0,24415000.0,-11649000.0,-3259000.0,,,4640000.0,10345000.0,-2177000.0,,18544000.0,-24594000,8131000.0,13844000.0,13906000.0,-3468000.0,12321000,,,-62000.0
CVGI,2019-12-31,-4732000.0,1043000.0,36719000.0,8304000.0,,,4538000.0,7711000.0,1220000.0,,808000.0,-11049000,-4674000.0,-3394000.0,-2187000.0,-4729000.0,-27533000,,,-222000.0
CVGI,2019-09-30,-6568000.0,2591000.0,1787000.0,1653000.0,,,3918000.0,20384000.0,-1475000.0,,-21818000.0,8520000,4861000.0,-159000.0,-2187000.0,-40568000.0,-3291000,,,-159000.0
CVGI,2019-06-30,-7122000.0,3131000.0,-196000.0,4277000.0,,,3340000.0,14622000.0,-116000.0,,6173000.0,7177000,-465000.0,-1211000.0,-1094000.0,-7122000.0,-2985000,,,-117000.0
AXNX,2020-03-31,-714000.0,4436000.0,-13405000.0,-3571000.0,,,380000.0,-23307000.0,-177000.0,,-11262000.0,-14616000,1676000.0,344000.0,,11878000.0,1558000,344000.0,12592000.0,
AXNX,2019-12-31,-377000.0,2896000.0,-7000000.0,-2956000.0,,,411000.0,-28136000.0,153000.0,,94851000.0,-22751000,-600000.0,110492000.0,,12342000.0,1650000,117633000.0,12719000.0,
AXNX,2019-09-30,-233000.0,2582000.0,332000.0,-4728000.0,,,510000.0,-23904000.0,-112000.0,,-6449000.0,-25006000,504000.0,111000.0,,17456000.0,1677000,111000.0,17689000.0,
AXNX,2019-06-30,-379000.0,1775000.0,-482000.0,-2911000.0,,,394000.0,-18359000.0,-43000.0,,-6654000.0,-19061000,1204000.0,308000.0,,11440000.0,453000,308000.0,11819000.0,
MINI,2020-03-31,-10751000.0,6608000.0,3365000.0,-154000.0,-13575000.0,,17492000.0,33223000.0,-111000.0,-900000.0,2742000.0,8301000,-12334000.0,-14826000.0,-1104000.0,-15544000.0,9490000,753000.0,,
MINI,2019-12-31,-10017000.0,10217000.0,1935000.0,458000.0,-12018000.0,,17623000.0,60819000.0,216000.0,-11000.0,758000.0,29016000,744000.0,-42382000.0,-31125000.0,-17895000.0,372000,802000.0,,
MINI,2019-09-30,-14604000.0,8586000.0,-2501000.0,478000.0,-12175000.0,,17490000.0,51347000.0,-141000.0,-18482000.0,2608000.0,22575000,4640000.0,-29431000.0,875000.0,-19167000.0,-364000,510000.0,,
MINI,2019-06-30,-23181000.0,11687000.0,5056000.0,1268000.0,-12263000.0,,18135000.0,61769000.0,105000.0,-10006000.0,391000.0,14058000,6356000.0,-38386000.0,-16153000.0,-23097000.0,4774000,114000.0,,
WCN,2020-03-31,-137781000.0,42958000.0,,,-48018000.0,6599000.0,187812000.0,369586000.0,-2364000.0,-128744000.0,860985000.0,143035000,-7639000.0,627389000.0,816384000.0,-133626000.0,0,679000.0,,-12912000.0
WCN,2019-12-31,-200880000.0,52237000.0,,,-48719000.0,824000.0,194919000.0,355117000.0,465000.0,-68000.0,27393000.0,133262000,-93964000.0,212145000.0,262979000.0,-540334000.0,90303000,679000.0,,-2047000.0
WCN,2019-09-30,-211419000.0,48548000.0,,,-42133000.0,3579000.0,194406000.0,432382000.0,-127000.0,-328000.0,102092000.0,159109000,29025000.0,-84781000.0,-41490000.0,-245382000.0,0,341000.0,,-1171000.0
WCN,2019-06-30,-139552000.0,25725000.0,,,-42131000.0,-6749000.0,194089000.0,389276000.0,77000.0,-291000.0,-290946000.0,148848000,19348000.0,-168055000.0,-119488000.0,-512244000.0,0,85000.0,,-6230000.0
GLOB,2020-03-31,-6927000.0,9670000.0,-15207000.0,,,-4099000.0,11487000.0,-5351000.0,863000.0,,69920000.0,13170000,-25340000.0,71495000.0,69460000.0,2913000.0,1178000,2930000.0,20355000.0,-895000.0
GLOB,2019-12-31,-6927000.0,9670000.0,-15207000.0,,,-4099000.0,11487000.0,-5351000.0,863000.0,,69920000.0,13453000,-25340000.0,71495000.0,69460000.0,2913000.0,0,2930000.0,20355000.0,-895000.0
GLOB,2019-09-30,-6927000.0,9670000.0,-15207000.0,,,-4099000.0,11487000.0,-5351000.0,863000.0,,69920000.0,15078000,-25340000.0,71495000.0,69460000.0,2913000.0,0,2930000.0,20355000.0,-895000.0
GLOB,2019-06-30,-6927000.0,9670000.0,-15207000.0,,,-4099000.0,11487000.0,-5351000.0,863000.0,,69920000.0,13385000,-25340000.0,71495000.0,69460000.0,2913000.0,0,2930000.0,20355000.0,-895000.0
HAPP,2019-09-30,-30916.0,,850522.0,-14451.0,,,172620.0,4471677.0,-459453.0,,4515638.0,4211649,-648987.0,534330.0,534330.0,-30916.0,47586,,,
HAPP,2019-06-30,-30916.0,,850522.0,-14451.0,,,172620.0,4471677.0,-459453.0,,4515638.0,4211649,-648987.0,534330.0,534330.0,-30916.0,47586,,,
HAPP,2019-03-31,-18048.0,,-588194.0,5481.0,,,172813.0,721451.0,174790.0,,702903.0,4958580,-3919102.0,-178261.0,-178262.0,-15077.0,-74570,,,
HAPP,2018-12-31,-18048.0,,-588194.0,5481.0,,,172813.0,721451.0,174790.0,,702903.0,4958580,-3919102.0,-178261.0,-178262.0,-15077.0,-74570,,,
BPT,2020-03-31,,,,,,,,,,,,9091000,,,,,0,,,
BPT,2019-12-31,,,,,,,,,,,,7203000,,,,,0,,,
BPT,2019-09-30,,,,,,,,,,,,11831000,,,,,0,,,
BPT,2019-06-30,,,,,,,,,,,,7446000,,,,,0,,,
HALL,2019-09-30,-1241000.0,621000.0,3780000.0,,,,1375000.0,16215000.0,,,-5414000.0,5287000,-23094000.0,19021000.0,20000000.0,-40650000.0,28436000,,-39409000.0,-979000.0
HALL,2019-06-30,-600000.0,-5529000.0,-12130000.0,,,,1343000.0,8645000.0,,,2344000.0,13029000,-22956000.0,19021000.0,20000000.0,-6301000.0,35429000,,-5701000.0,-979000.0
HALL,2019-03-31,-1847000.0,-9394000.0,-12479000.0,,,,1283000.0,-1960000.0,,,28341000.0,15025000,-15942000.0,140000.0,20000000.0,30161000.0,18140000,,32008000.0,-979000.0
HALL,2018-12-31,-571000.0,10699000.0,-8567000.0,,,,1340000.0,-13952000.0,,,-22973000.0,-5075000,-12881000.0,-343000.0,20000000.0,-8678000.0,672000,,-8107000.0,-979000.0
JRSH,2019-12-31,-699197.0,,4303257.0,-5361524.0,-566250.0,,383474.0,4613758.0,921.0,,3373901.0,2073269,142414.0,-541581.0,24669.0,-699197.0,2817063,,,-566250.0
JRSH,2019-09-30,-1679333.0,,-902960.0,8541625.0,-566250.0,,386126.0,9765063.0,8600.0,,7475910.0,3592747,-545665.0,-618420.0,-52170.0,-1679333.0,-607919,,,-566250.0
JRSH,2019-06-30,-1374139.0,,-9383142.0,-743194.0,-566250.0,,338652.0,-8399057.0,4295.0,,-10915598.0,1549488,417661.0,-1146697.0,-580447.0,-1374139.0,-913522,,,-566250.0
JRSH,2019-03-31,-66676.0,,9118929.0,-9331546.0,-566250.0,,295845.0,-2151386.0,29398.0,,-3209583.0,-215474,-1008875.0,61504.0,627754.0,-496789.0,-1295533,,,-566250.0
DNKN,2020-03-28,-6145000.0,9085000.0,9564000.0,,-33057000.0,-128000.0,11501000.0,-37255000.0,-641000.0,-64292000.0,-32934000.0,52113000,-105895000.0,11235000.0,108213000.0,-6273000.0,-6503000,3251000.0,,-2880000.0
DNKN,2019-12-28,-10247000.0,2336000.0,-15712000.0,,-31062000.0,152000.0,10680000.0,139955000.0,270000.0,-4913000.0,89361000.0,57714000,62516000.0,-40769000.0,-7788000.0,-10095000.0,20127000,2826000.0,,168000.0
DNKN,2019-09-28,-7515000.0,-4614000.0,13340000.0,,-31042000.0,-50000.0,10614000.0,104702000.0,-257000.0,-14673000.0,54200000.0,72365000,-4098000.0,-42680000.0,-7787000.0,-7565000.0,13341000,11158000.0,,-336000.0
